Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
UMOJA PHARMACEUTICALS LTD (Nairobi),PPB/U/,BU202606474,PRIVATE COMPANY (LIMITED),WHOLESALE,1994,JUNCTION LENANA -RALPH BUNCHE RD,Nairobi,VALID,ACTIVE,2026-12-31
UNITED PHARMA (K) LTD (Nairobi),PPB/U/49,BU202604810,SOLE PROPRIETOR,WHOLESALE,2014,UNIVERSAL INDUSTRIAL AND LOGISTICS,Nairobi,VALID,ACTIVE,2026-12-31
VICTORIA HEALTHCARE LIMITED (Kisumu),PPB/V/291,BU202607134,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,JOMOKENYATTA HIGHWAY,Kisumu,VALID,ACTIVE,2026-12-31
VICTORIA HEALTHCARE LTD-NAIROBI (Nairobi),PPB/V/411,BU202606755,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
VITAONCO PHARMACEUTICALS AFRICA LIMITED,PPB/V/484,BU202606656,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,KEYO ROAD NGARA,,VALID,ACTIVE,2026-12-31
W&S PHARMACEUTICAL  LIMITED (Nairobi),PPB/S/9397,BU202602992,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,MUSLIM RD,Nairobi,VALID,ACTIVE,2026-12-31
WAREHOUSE PHARMACEUTICALS LIMITED (Nairobi),PPB/W/7467,BU202601810,SOLE PROPRIETOR,WHOLESALE,2024,KILIMANI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
WEGA HEALTHCARE LTD (Kiambu),PPB/W/7334,BU202607887,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,GARISSA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
WESSEX PHARMACEUTICALS LTD (Nairobi),PPB/W/79,BU202603815,PRIVATE COMPANY (LIMITED),WHOLESALE,2002,MOMBASA RD,Nairobi,VALID,ACTIVE,2026-12-31
WEST POINT PHARMACY LIMITED (Kiambu),PPB/W/7319,BU202600165,PRIVATE COMPANY (LIMITED),WHOLESALE,2020,KIAMBU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
