Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
MOBICARE PHARMACY LTD,PPB/M/9876,BU202604931,SOLE PROPRIETOR,2022,KASARANI-MWIKI ROAD,,VALID,ACTIVE,2026-12-31
MOBICHEM PHARMACY LTD (Migori),PPB/M/1056,BU202606830,SOLE PROPRIETOR,2003,KISII-SIRARE HIGHWAY,Migori,VALID,ACTIVE,2026-12-31
MOBON CHEMIST (Nandi),PPB/M/8533,BU202607079,SOLE PROPRIETOR,2016,KIPSIGAK KOBUJOI,Nandi,VALID,ACTIVE,2026-12-31
MOCARE PHARMACY (Kiambu),PPB/M/8461,BU202602582,SOLE PROPRIETOR,2015,MAKONGENI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MOCHA PHARMACY (Homa Bay),PPB/M/218,BU202603015,SOLE PROPRIETOR,1998,BUS STOP,Homa Bay,VALID,ACTIVE,2026-12-31
MOCIL PHARMACY (Siaya),PPB/M/792,BU202601453,SOLE PROPRIETOR,2013,MUHANDA-SAWAGONGO RD,Siaya,VALID,ACTIVE,2026-12-31
MODERN DISPENSING CHEMIST (Embu),PPB/M/8486,BU202600074,SOLE PROPRIETOR,2016,EMBU-SIAKAGO,Embu,VALID,ACTIVE,2026-12-31
MODERN JOMVU CHEMIST,PPB/M/9490,BU202607941,SOLE PROPRIETOR,2022,JOMVU KUU ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MODESTY PHARMACEUTICALS LTD-NICE (Kirinyaga),PPB/M/865B,BU202601732,PRIVATE COMPANY (LIMITED),2013,NAIROBI-EMBU HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
MODULE 2016 PHARMACEUTICAL (Nairobi),PPB/M/8523,BU202600950,SOLE PROPRIETOR,2016,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MOGACHEM PHARMACEUTICALS LIMITED,PPB/M/10045,BU202607154,PRIVATE COMPANY (LIMITED),2023,THOME ROAD,,VALID,ACTIVE,2026-12-31
MOGIRA PHARMACY - GATUNDU (Kiambu),PPB/M/338,BU202600979,PARTNERSHIP,2013,HOSPITAL ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MOGWA PHARMACEUTICAL CHEMIST (Kericho),PPB/M/200,BU202600468,SOLE PROPRIETOR,2005,KISUMU HIGHWAY,Kericho,VALID,ACTIVE,2026-12-31
MOI DRIVE PHARMACY,PPB/M/10146,BU202605407,SOLE PROPRIETOR,2025,MOI DRIVE,,VALID,ACTIVE,2026-12-31
MOINGET CHEMIST FORT-TERNAN,PPB/M/9805,BU202600011,SOLE PROPRIETOR,2023,FORT-TERNAN,,VALID,ACTIVE,2026-12-31
MOI\'S BRIDGE CHEMISTS LTD (Uasin Gishu),PPB/M/151,BU202606663,PARTNERSHIP,2013,ELDORET-KITALE RD,Uasin Gishu,VALID,ACTIVE,2026-12-31
MOKOE CHEMIST (Murang'a),PPB/M/1000,BU202603741,SOLE PROPRIETOR,2014,,Murang'a,VALID,ACTIVE,2026-12-31
MOLI PHARMACY-HIBWA BLDG (Migori),PPB/M/8546,BU202604834,SOLE PROPRIETOR,2016,MIGORI-ISEBANIA,Migori,VALID,ACTIVE,2026-12-31
MOLMED PHARMACY (Nakuru),PPB/M/8574,BU202605002,SOLE PROPRIETOR,2016,LOCKUPS POSTA POLICE ROAD,Nakuru,VALID,ACTIVE,2026-12-31
MOLO BETADAY CHEMIST (Nakuru),PPB/M/8980,BU202605254,SOLE PROPRIETOR,2013,HOSPITAL ROAD,Nakuru,VALID,ACTIVE,2026-12-31
MOLO CENTRAL CHEMIST (Nakuru),PPB/M/0770,BU202606903,SOLE PROPRIETOR,2012,HOSPITAL ROAD STREET,Nakuru,VALID,ACTIVE,2026-12-31
MOLO DAWA POINT CHEMIST (Nakuru),PPB/M/1001,BU202602774,SOLE PROPRIETOR,2013,HOSPITAL ROAD,Nakuru,VALID,ACTIVE,2026-12-31
MOLO HIGHWAY RIYEGHAN  CHEMIST,PPB/M/10108,BU202602595,SOLE PROPRIETOR,2025,HOSPITAL ROAD,,VALID,ACTIVE,2026-12-31
MOLO TIMJO PHARMACY (Nakuru),PPB/M/083,BU202602451,SOLE PROPRIETOR,1993,,Nakuru,VALID,ACTIVE,2026-12-31
MOM'S CARE CHEMIST-N,PPB/M/9923,BU202602542,SOLE PROPRIETOR,2021,2ND IMANI AVENUE,,VALID,ACTIVE,2026-12-31
MOMBASA CBHC & AIDS RELIEF PROECT (Mombasa),PPB/M/9328,BU202605051,SOLE PROPRIETOR,2012,MBUNGONI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MOMBASA DRUGSTORE (Kilifi),PPB/M/8587,BU202602003,SOLE PROPRIETOR,2023,GEDE- WATAMU ROAD,Kilifi,VALID,ACTIVE,2026-12-31
MOMENTS PHARMACEUTICALS (Nairobi),PPB/M/1007,BU202607158,PRIVATE COMPANY (LIMITED),2013,MOI DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
MOMISHA CHEMIST (Kiambu),PPB/M/9245,BU202602036,SOLE PROPRIETOR,2021,CHANIA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MOMO PHARMACEUTICALS LIMITED (Murang'a),PPB/M/9186,BU202604053,SOLE PROPRIETOR,2015,KIRIANI-MURANGA ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MONALIFE PHARMACEUTICALS LTD (Mombasa),PPB/M/10001,BU202600901,PRIVATE COMPANY (LIMITED),2024,MAKADARA ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MONALIFE PHARMACEUTICALS LTD - KENYATTA AVENUE,PPB/M/10050,BU202602558,PARTNERSHIP,2024,KENYATTA AVENUE,,VALID,ACTIVE,2026-12-31
MONALIFE PHARMACEUTICALS LTD- NEXT GEN MALL  (Nairobi),PPB/M/10120,BU202602472,PARTNERSHIP,2025,ALONG MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MONAT CHEMIST,PPB/M/9506,BU202602562,SOLE PROPRIETOR,2022,KIHUMBUI-NI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MONCLAIRE DISCOUNT PHARMACY,PPB/M/9712,BU202601794,SOLE PROPRIETOR,2023,BUNDA,Nakuru,VALID,ACTIVE,2026-12-31
MONIMED PHARMACEUTICALS-RUIRU (Kiambu),PPB/M/632,BU202605776,SOLE PROPRIETOR,2011,RILAWAY STREET,Kiambu,VALID,ACTIVE,2026-12-31
MONOXY PHARM LIMITED,PPB/M/9937,BU202603007,PRIVATE COMPANY (LIMITED),2021,MOMBASA ROAD,,VALID,ACTIVE,2026-12-31
MONROECARE PHARMACY,PPB/M/9822,BU202601928,SOLE PROPRIETOR,2023,ST MARY'S ROAD LANGATA,,VALID,ACTIVE,2026-12-31
MONSEHPHARM PHARMACY,PPB/M/10105,BU202606647,SOLE PROPRIETOR,2024,KAHAWA ROAD,,VALID,ACTIVE,2026-12-31
MONTREAL PHARMACY (Mombasa),PPB/M/8497,BU202602096,SOLE PROPRIETOR,2016,MAJENGO KING\'ORANI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MOONBRIGHT CHEMIST-KERICHO,PPB/M/9677,BU202606261,SOLE PROPRIETOR,2022,KERICHO -KAPSOIT ROAD,Kericho,VALID,ACTIVE,2026-12-31
MOONSIGHT PHARMACEUTICAL LIMITED (Nairobi),PPB/M/9354,BU202603315,PARTNERSHIP,2021,MUHOHO AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
MOOREND PHARMACEUTICAL LTD,PPB/M/10011,BU202600418,PARTNERSHIP,2024,KISUMU BUSIA HIGHWAY,,VALID,ACTIVE,2026-12-31
MOPEK CHEMIST (Meru),PPB/M/1183,BU202601201,PARTNERSHIP,2015,MERU - MAUA ROAD,Meru,VALID,ACTIVE,2026-12-31
MOPHARM HEALTHCARE LIMITED (Nairobi),PPB/M/8969,BU202604283,PRIVATE COMPANY (LIMITED),2019,"KIPKABAS ROAD, PARKLANDS",Nairobi,VALID,ACTIVE,2026-12-31
MORACINES PHARMACY,PPB/M/10084,BU202607180,SOLE PROPRIETOR,2025,MISUFINI STREET,,VALID,ACTIVE,2026-12-31
MORAN PHARMACY (Nairobi),PPB/M/8482,BU202604372,SOLE PROPRIETOR,2015,RHAPTA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MORDAN PHARMACY (Kwale),PPB/M/8993,BU202605425,SOLE PROPRIETOR,2018,MOMBASA-LUNGA LUNGA ROAD,Kwale,VALID,ACTIVE,2026-12-31
MORE LIFE CHEMISTS,PPB/M/9531,BU202602001,SOLE PROPRIETOR,2021,STATION ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MORESIA CHEMIST (Nairobi),PPB/M/8893,BU202603433,SOLE PROPRIETOR,2018,UTAWALA GITHUNGURI ROAD,Machakos,VALID,ACTIVE,2026-12-31
MORIMED CHEMIST (Bungoma),PPB/M/979,BU202603150,SOLE PROPRIETOR,2013,,Bungoma,VALID,ACTIVE,2026-12-31
MOROGO CHEMIST,PPB/M/9453,BU202605176,SOLE PROPRIETOR,2021,KIPCHAMBA,Bomet,VALID,ACTIVE,2026-12-31
MORPHIC PHARMACEUTICALS LIMITED (Nakuru),PPB/M/8988,BU202600244,PARTNERSHIP,2019,KENYATTA AVENUE,Nakuru,VALID,ACTIVE,2026-12-31
MOS-PHARM CHEMIST (Uasin Gishu),PPB/M/9698,BU202601013,SOLE PROPRIETOR,2023,ELDORET- KAPSABET,Uasin Gishu,VALID,ACTIVE,2026-12-31
MOSACHEM CHEMIST (Vihiga),PPB/M/8568,BU202606860,SOLE PROPRIETOR,2016,KISUMU/KAKAMEGA ROAD,Vihiga,VALID,ACTIVE,2026-12-31
MOSAYA CHEMIST (Kiambu),PPB/M/1009,BU202602025,SOLE PROPRIETOR,2014,,Kiambu,VALID,ACTIVE,2026-12-31
MOSEHELI CHEMIST (Narok),PPB/M/032,BU202604175,SOLE PROPRIETOR,2014,KIPANGAS,Narok,VALID,ACTIVE,2026-12-31
MOSEPHARM CHEMIST MAKUENI,PPB/M/9660,BU202605347,SOLE PROPRIETOR,2022,MASII KITUI ROAD,Machakos,VALID,ACTIVE,2026-12-31
MOSHEL PHARMACY (Nairobi),PPB/M/8485,BU202606215,SOLE PROPRIETOR,2015,WAIYAKI WAY,Nairobi,VALID,ACTIVE,2026-12-31
MOSMED PHARMACY,PPB/M/10079,BU202603021,SOLE PROPRIETOR,2025,JUJA ROAD,,VALID,ACTIVE,2026-12-31
MOSOTI PHARMACEUTICALS -TOWN,PPB/M/9871,BU202605531,PARTNERSHIP,2022,NYAMIRA MILUKA ROAD,,VALID,ACTIVE,2026-12-31
MOSPAT CHEMIST,PPB/M/9988,BU202607161,SOLE PROPRIETOR,2024,NAKURU PIPELINE,,VALID,ACTIVE,2026-12-31
MOTENDE CHEMISTRY (Kisii),PPB/M/8855,BU202604269,SOLE PROPRIETOR,2018,KISII UFANISI ROAD,Nyamira,VALID,ACTIVE,2026-12-31
MOTHERLAND MATUNDA PHARMACY,PPB/M/10143,BU202600587,SOLE PROPRIETOR,2025,ELDORET _KITALE,,VALID,ACTIVE,2026-12-31
MOTHERS PHARMACY LTD  (Trans Nzoia),PPB/M/306,BU202601028,SOLE PROPRIETOR,0000,RIAYA RD,Trans Nzoia,VALID,ACTIVE,2026-12-31
MOTRIZ DRUG STORE-OLA (Kajiado),PPB/M/9105,BU202600428,SOLE PROPRIETOR,2020,NAMANGA RD,Kajiado,VALID,ACTIVE,2026-12-31
MOUBIET INVESTMENT (Mombasa),PPB/M/9724,BU202607446,SOLE PROPRIETOR,2023,MOMBASA-MALINDI,Kilifi,VALID,ACTIVE,2026-12-31
MOUNT KENYA PHARMACY (Murang'a),PPB/M/8445,BU202601893,SOLE PROPRIETOR,2015,MURANGA GAKIRA ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MOUNT LONGONOT PHARMA CHEMIST,PPB/M/9850,BU202600699,SOLE PROPRIETOR,2020,KENYATTA AVENUE,,VALID,ACTIVE,2026-12-31
MOUNTHEAL CHEMIST,PPB/M/9970,BU202602770,SOLE PROPRIETOR,2024,GITHURAI KIMBO ROAD,,VALID,ACTIVE,2026-12-31
MOWLEM CHEMIST (Trans Nzoia),PPB/M/9529,BU202602227,SOLE PROPRIETOR,2021,KITALE - SUAM ROAD,Trans Nzoia,VALID,ACTIVE,2026-12-31
MOWO SKY PHARMACY (Baringo),PPB/M/82,BU202603767,SOLE PROPRIETOR,2014,CHELAGAT ST.,Baringo,VALID,ACTIVE,2026-12-31
MOXIE PHARMACY (Meru),PPB/M/9196,BU202605549,SOLE PROPRIETOR,2020,EMBU MERU HIGHWAY,Meru,VALID,ACTIVE,2026-12-31
MOYAMED PHARMACEUTICALS,PPB/M/9946,BU202603440,SOLE PROPRIETOR,2024,MLACHAKE STREET,,VALID,ACTIVE,2026-12-31
MOZONE PHARMACY,PPB/M/9696,BU202603652,SOLE PROPRIETOR,2021,OYUGIS-KISUMU RD,Homa Bay,VALID,ACTIVE,2026-12-31
MPEKETONI MEDIPHARM PHARMACY (Lamu),PPB/M/665,BU202607800,SOLE PROPRIETOR,2012,MPEKETONI,Lamu,VALID,ACTIVE,2026-12-31
MREHA PHARMACY,PPB/M/9705,BU202604240,SOLE PROPRIETOR,2023,MOZA ROAD,Kilifi,VALID,ACTIVE,2026-12-31
MSAFI TUDOR CHEMIST,PPB/M/9842,BU202604507,SOLE PROPRIETOR,2024,MANYIMBO ROAD,,VALID,ACTIVE,2026-12-31
MSANGI PHARMACY,PPB/M/9847,BU202607007,SOLE PROPRIETOR,2024,TAVETA VOI STREET,,VALID,ACTIVE,2026-12-31
MSIKITINI VIEW PHARMACY (Mombasa),PPB/M/8562,BU202605465,SOLE PROPRIETOR,2016,KISAUNI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
MT. ELGON VIEW PHARMACY COMPANY (Trans Nzoia),PPB/M/023,BU202601867,SOLE PROPRIETOR,1914,KAPENGURIA RD,Trans Nzoia,VALID,ACTIVE,2026-12-31
MT. SUSWA PHARMACY- SUSWA,PPB/M/9945,BU202606608,SOLE PROPRIETOR,2024,NAROK NAIROBI HIGHWAY,,VALID,ACTIVE,2026-12-31
MTARAGON CHEMIST,PPB/M/9494,BU202607465,SOLE PROPRIETOR,2022,TASSIA,Nairobi,VALID,ACTIVE,2026-12-31
MTAWAPA MEDS PHARMACY (Kilifi),PPB/M/9147,BU202605331,SOLE PROPRIETOR,2020,MOMBASA MALINDI ROAD,Kilifi,VALID,ACTIVE,2026-12-31
MU VIEW CHEMIST (Uasin Gishu),PPB/M/9280,BU202600267,SOLE PROPRIETOR,2021,TALAI,Uasin Gishu,VALID,ACTIVE,2026-12-31
MUAKI PHARMACEUTICALS (Nakuru),PPB/M/366,BU202603769,SOLE PROPRIETOR,1914,,Nakuru,VALID,ACTIVE,2026-12-31
MUANJU PHARMACEUTICAL LIMITED,PPB/M/9503,BU202601934,SOLE PROPRIETOR,2022,GILGIL,Nakuru,VALID,ACTIVE,2026-12-31
MUBED PHARMACY (Kitui),PPB/M/9065,BU202601015,PARTNERSHIP,2020,GARISSA ROAD,Kitui,VALID,ACTIVE,2026-12-31
MUCHORWET PHARMACEUTICAL CHEMIST (Nakuru),PPB/M/8778,BU202602280,SOLE PROPRIETOR,2017,MOLO-OLENGURUONE,Nakuru,VALID,ACTIVE,2026-12-31
MUDITA DAWA AFYA CHEMIST,PPB/M/10172,BU202607416,SOLE PROPRIETOR,2025,GAKERE ROAD,,VALID,ACTIVE,2026-12-31
MUDZINI PHARMACY (Kilifi),PPB/M/761,BU202601960,SOLE PROPRIETOR,2014,KALOLENI - KILIFI RD,Kilifi,VALID,ACTIVE,2026-12-31
MUGA CHEMIST - POSTA STREET BRANCH,PPB/M/9551,BU202607850,SOLE PROPRIETOR,2022,POSTA STREET,Meru,VALID,ACTIVE,2026-12-31
MUGAMED CHEMIST,PPB/M/9878,BU202600718,SOLE PROPRIETOR,2024,SUNRISE AVENUE ROAD,,VALID,ACTIVE,2026-12-31
MUGANI MEDICAL SERVICES-KABUKU,PPB/M/9951,BU202601874,SOLE PROPRIETOR,2024,NGECHA RD,,VALID,ACTIVE,2026-12-31
MUGI PHARMACY LTD (Kiambu),PPB/M/1123,BU202603948,PRIVATE COMPANY (LIMITED),2014,GITHURAI KIMBO RD,Kiambu,VALID,ACTIVE,2026-12-31
MUGUNA CHEMIST (Meru),PPB/M/652,BU202606975,SOLE PROPRIETOR,2014,STADIUM,Meru,VALID,ACTIVE,2026-12-31
MUHORONI NDUGU CHEMIST,PPB/M/10066,BU202601318,SOLE PROPRIETOR,2024,KOBIL ROAD,,VALID,ACTIVE,2026-12-31
MUHOTANI CHEMIST (Murang'a),PPB/M/8460,BU202602496,SOLE PROPRIETOR,2015,OLD ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MUHOTETU CHEMIST (Laikipia),PPB/M/593,BU202607700,SOLE PROPRIETOR,2012,HOSPITAL ROAD,Laikipia,VALID,ACTIVE,2026-12-31
MUHURUBAY CHEMISTS (Migori),PPB/M/8537,BU202604272,SOLE PROPRIETOR,2016,MUHURU BAY - MIGORI ROAD,Migori,VALID,ACTIVE,2026-12-31
MUI CHEMISTS (Makueni),PPB/M/9025,BU202607259,SOLE PROPRIETOR,2019,MACHAKOS-WOTE,Makueni,VALID,ACTIVE,2026-12-31
MUIGAI PHARMACEUTICAL CONSULTANTS (Kiambu),PPB/M/8513,BU202605649,SOLE PROPRIETOR,2016,THIKA -GARISSA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MUIGAMAX BEST CHEMIST,PPB/M/10147,BU202604700,SOLE PROPRIETOR,2025,KINARI ROAD,,VALID,ACTIVE,2026-12-31
MUIGANANIA PHARMACY LIMITED (Kiambu),PPB/M/606,BU202600918,PRIVATE COMPANY (LIMITED),2025,N/A,Kiambu,VALID,ACTIVE,2026-12-31
MUISYO HEALTH PHARMACY (Machakos),PPB/M/1200,BU202604249,SOLE PROPRIETOR,2015,,Machakos,VALID,ACTIVE,2026-12-31
MUKARARA CAREMED CHEMIST,PPB/M/9559,BU202603151,SOLE PROPRIETOR,2022,NDAKAINI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MUKARIOS DRUG STORE LIMITED (Nakuru),PPB/W/7184,BU202601436,SOLE PROPRIETOR,2020,HOSPITAL ROAD,Nakuru,VALID,ACTIVE,2026-12-31
MUKETA GRACE PHARMACY (Nakuru),PPB/M/1217,BU202602402,SOLE PROPRIETOR,2015,MARALAL,Nakuru,VALID,ACTIVE,2026-12-31
MUKIRE PHARMACY (Nyeri),PPB/M/9713,BU202603352,PARTNERSHIP,2023,NYERI NYAHURURU ROAD,Laikipia,VALID,ACTIVE,2026-12-31
MUKURWE-INI PHARMACY LIMITED (Nyeri),PPB/M/321,BU202600794,SOLE PROPRIETOR,2013,GAKERE,Nyeri,VALID,ACTIVE,2026-12-31
MUKURWENI AFYA CHEMIST (Nyeri),PPB/M/1214,BU202606196,SOLE PROPRIETOR,2015,MUKURWENI ROAD,Nyeri,VALID,ACTIVE,2026-12-31
MUKUYU CHEMIST - MURANGA (Murang'a),PPB/M/0182,BU202600111,SOLE PROPRIETOR,2013,MUKUYU MARKET,Murang'a,VALID,ACTIVE,2026-12-31
MULEMBE DISPENSING CHEMISTS LTD (Kakamega),PPB/M/237,BU202606343,PARTNERSHIP,2014,CANON AWORI,Kakamega,VALID,ACTIVE,2026-12-31
MULIRO PHARMACEUTICALS (Kakamega),PPB/M/,BU202604424,SOLE PROPRIETOR,2013,,Kakamega,VALID,ACTIVE,2026-12-31
MULTI HEALTH NURSING HOME (Mandera),PPB/M/9267,BU202602339,PRIVATE COMPANY (LIMITED),2014,MOSQUE RD,Mandera,VALID,ACTIVE,2026-12-31
MULTICARE PHARMACY (Mombasa),PPB/M/8614,BU202602391,SOLE PROPRIETOR,2016,MBS-NRB HIGHWAY,Mombasa,VALID,ACTIVE,2026-12-31
MUMBI PHARM LIMITED,PPB/M/10151,BU202600734,PRIVATE COMPANY (LIMITED),2025,BIASHARA STREET,,VALID,ACTIVE,2026-12-31
MUMBICHEM PHARMACEUTICALS LIMITED (Nairobi),PPB/A/1711,BU202600707,PRIVATE COMPANY (LIMITED),2017,ACCRA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MUMBILINK PHARMACEUTICALS (Nairobi),PPB/M/607,BU202601092,PARTNERSHIP,2010,NAIVASHA RD,Nairobi,VALID,ACTIVE,2026-12-31
MUMBO CANAAN CHEMIST,PPB/M/10092,BU202602989,SOLE PROPRIETOR,2024,ORODESA,,VALID,ACTIVE,2026-12-31
MUMBUI PHARMACY (Kiambu),PPB/M/9080,BU202606905,SOLE PROPRIETOR,2020,UPLANDS,Kiambu,VALID,ACTIVE,2026-12-31
MUMIAS PONYA LIFECARE (Kakamega),PPB/M/832,BU202606083,SOLE PROPRIETOR,2013,,Kakamega,VALID,ACTIVE,2026-12-31
MUMO DISPENSING PHARMACY (Machakos),PPB/M/9643,BU202600563,SOLE PROPRIETOR,2022,MBIUNI KABAA,Machakos,VALID,ACTIVE,2026-12-31
MUMOH PHARMACY,PPB/M/10096,BU202600592,SOLE PROPRIETOR,2025,KATHIMANI KABAA ROAD,,VALID,ACTIVE,2026-12-31
MUMONI CHEMIST AND COSMETICTS (Embu),PPB/M/8601,BU202602360,SOLE PROPRIETOR,2016,KARABA ROAD,Embu,VALID,ACTIVE,2026-12-31
MUMWA CHEMIST A LTD (Kiambu),PPB/M/648,BU202605390,PRIVATE COMPANY (LIMITED),2011,THIKA MANG\\\\\\\'U,Kiambu,VALID,ACTIVE,2026-12-31
MUMWA CHEMIST LTD (Kiambu),PPB/M/751,BU202605389,PRIVATE COMPANY (LIMITED),2014,THIKA MANG\\\\\\\'U ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MUMWA CHEMIST \'C\' LTD (Kiambu),PPB/M/1202,BU202605392,PRIVATE COMPANY (LIMITED),2015,GITHIMA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MUNAMI AGROLINE ENTERPRISES,PPB/M/9728,BU202603329,SOLE PROPRIETOR,2019,MUMIAS-BUSIA,Kakamega,VALID,ACTIVE,2026-12-31
MUNEER PHARMACEUTICALS LTD,PPB/M/9867,BU202607363,SOLE PROPRIETOR,2023,GARISSA-KISMAYU ROAD,,VALID,ACTIVE,2026-12-31
MUNGARE CHEMIST LTD,PPB/M/9950,BU202602924,SOLE PROPRIETOR,2024,MAJENGO MONGARE,,VALID,ACTIVE,2026-12-31
MUNGATSI CHEMIST (Busia),PPB/M/664,BU202604254,SOLE PROPRIETOR,2012,MAYONI-BUSIA,Busia,VALID,ACTIVE,2026-12-31
MUNGOMA CHEMIST (Vihiga),PPB/U/025,BU202600863,SOLE PROPRIETOR,1914,HOSPITAL ROAD,Vihiga,VALID,ACTIVE,2026-12-31
MUNJAL CHEMIST (Machakos),PPB/M/1181,BU202606870,SOLE PROPRIETOR,2014,ALONG MOMBASA,Machakos,VALID,ACTIVE,2026-12-31
MUNJE PHARMACY (Meru),PPB/M/04,BU202606320,SOLE PROPRIETOR,2014,HOSPITAL ROAD,Meru,VALID,ACTIVE,2026-12-31
MUNYI CHEMIST LIMITED (Machakos),PPB/J/9316,BU202600109,PRIVATE COMPANY (LIMITED),2025,PEPONI ROAD,Machakos,VALID,ACTIVE,2026-12-31
MUQIT PHARMACY AND CLINIC LIMITED,PPB/M/10025,BU202605045,SOLE PROPRIETOR,2024,MERTI ROAD,,VALID,ACTIVE,2026-12-31
MURAKE PHARMACEUTICALS (Machakos),PPB/M/8908,BU202600812,SOLE PROPRIETOR,2018,KANGUNDO MWALA,Machakos,VALID,ACTIVE,2026-12-31
MURAMA APOTHEKE DRUG STORE & SUPPLIES-LANGATA  (Nairobi),PPB/M/1136,BU202607098,SOLE PROPRIETOR,2015,KITENGELA,Nairobi,VALID,ACTIVE,2026-12-31
MURAMATI PHARMACY (Murang'a),PPB/M/8466,BU202602056,PARTNERSHIP,2015,KANGARI ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MURANGA PHARMACEUTICALS (Murang'a),PPB/M/496,BU202605543,PARTNERSHIP,2009,KENYATTA RD,Murang'a,VALID,ACTIVE,2026-12-31
MURCHEM PHARMACY (Trans Nzoia),PPB/M/766,BU202607780,SOLE PROPRIETOR,1914,KITALE - ENDEBBES RD,Trans Nzoia,VALID,ACTIVE,2026-12-31
MURIH CHEMIST (Kiambu),PPB/M/731,BU202601148,SOLE PROPRIETOR,1914,NAIVASHA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
MURRAM PHARMACY LIMITED,PPB/M/10041,BU202600303,SOLE PROPRIETOR,2024,NGOIGWA TOWN,,VALID,ACTIVE,2026-12-31
MURRIHS PHARMACY (Kirinyaga),PPB/M/9293,BU202604591,PARTNERSHIP,2021,KAGIO KUTUS,Kirinyaga,VALID,ACTIVE,2026-12-31
MURUNA CHEMIST (Murang'a),PPB/M/679,BU202600282,SOLE PROPRIETOR,1914,OTHAYA ROAD,Murang'a,VALID,ACTIVE,2026-12-31
MURURI LATE NIGHT CHEMIST,PPB/M/9987,BU202604202,SOLE PROPRIETOR,2024,MWEA EMBU ROAD,,VALID,ACTIVE,2026-12-31
MUSA CHEMIST (Makueni),PPB/M/639,BU202602211,SOLE PROPRIETOR,2012,,Makueni,VALID,ACTIVE,2026-12-31
MUSCAT CHEMIST (Nairobi),PPB/M/8689,BU202602505,SOLE PROPRIETOR,2017,OFF NSSF NYAYO ESTATE -GATE B,Nairobi,VALID,ACTIVE,2026-12-31
MUSCAT CHEMIST PIPELINE,PPB/M/10081,BU202601992,SOLE PROPRIETOR,2025,NORTH AIRPORT,,VALID,ACTIVE,2026-12-31
MUSEO PHARMACY,PPB/M/9684,BU202600522,SOLE PROPRIETOR,2022,"MACHAKOS,WOTE",Machakos,VALID,ACTIVE,2026-12-31
MUSTARD CHEMISTS (Nairobi),PPB/M/524,BU202602152,SOLE PROPRIETOR,2010,TABERE CRESCENT,Nairobi,VALID,ACTIVE,2026-12-31
MUSTARDLIFE HEALTH SOLUTIONS LTD,PPB/M/9697,BU202602596,SOLE PROPRIETOR,2018,ROAD OPAPO MIROGI ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
MUTEMI PHARMACY,PPB/M/10040,BU202602434,SOLE PROPRIETOR,2024,EMBU NAIROBI HIGHWAY,,VALID,ACTIVE,2026-12-31
MUTHALE CHEMIST (Machakos),PPB/M/1101,BU202601919,SOLE PROPRIETOR,2013,GARISSA ROAD,Machakos,VALID,ACTIVE,2026-12-31
MUTHIGA HEALTH SERVICES,PPB/M/9922,BU202601067,PARTNERSHIP,2024,KINGONGO,,VALID,ACTIVE,2026-12-31
MUTHURWA CENTER CHEMIST - LENANA,PPB/M/9865,BU202607926,SOLE PROPRIETOR,2024,LENANA,,VALID,ACTIVE,2026-12-31
MUTHWANI PHARMACY,PPB/M/10211,BU202607474,SOLE PROPRIETOR,2025,MARYSTART  GITHUNGURI,,VALID,ACTIVE,2026-12-31
MUTIMU PHARMACEUTICALS  (Kilifi),PPB/M/1044,BU202607938,SOLE PROPRIETOR,2014,TSVAO,Kilifi,VALID,ACTIVE,2026-12-31
MUVAU PHARMACY (Makueni),PPB/M/1014,BU202601084,PARTNERSHIP,2013,WOTE HOSPITAL RD,Makueni,VALID,ACTIVE,2026-12-31
MUYAN PHARMACEUTICALS LIMITED,PPB/M/9799,BU202607799,PARTNERSHIP,2023,BAT MUZUKA,,VALID,ACTIVE,2026-12-31
