Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
SHINECHEM PHARMACY,PPB/S/9025,BU202606498,SOLE PROPRIETOR,2022,KAHAWA WENDANI,Kiambu,VALID,ACTIVE,2026-12-31
SHINYALU PHARMACY,PPB/S/9185,BU202600470,SOLE PROPRIETOR,2022,MARKET ROAD,Kakamega,VALID,ACTIVE,2026-12-31
SHIPHARM PHARMACY,PPB/S/9243,BU202601190,SOLE PROPRIETOR,2023,MWIHOKO,Kiambu,VALID,ACTIVE,2026-12-31
SHIVLING CHEMISTS LIMITED (Migori),PPB/S/1147,BU202600320,PRIVATE COMPANY (LIMITED),2016,ISBANIA ROAD,Migori,VALID,ACTIVE,2026-12-31
SHIVLING PHARMACEUTICAL LIMITED - NAROK,PPB/S/9406,BU202603034,PRIVATE COMPANY (LIMITED),2024,NAROK TOWN,,VALID,ACTIVE,2026-12-31
SHIVLING PHARMACEUTICAL LIMITED KISII,PPB/S/9163,BU202601641,PARTNERSHIP,2015,KISII REFERRAL HOSPITAL ROAD,Kisii,VALID,ACTIVE,2026-12-31
SHIVLING PHARMACEUTICAL LTD (Nairobi),PPB/S/1291,BU202601797,PRIVATE COMPANY (LIMITED),2016,HOMABAY - KISUMU,Homa Bay,VALID,ACTIVE,2026-12-31
SHIWELL PHARMACY  (Nairobi),PPB/S/9404,BU202600205,SOLE PROPRIETOR,2024,MIREMA DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
SHOLLOZ PHARMACY (Nakuru),PPB/S/9445,BU202601124,PARTNERSHIP,2011,TOM MBOYA,Nakuru,VALID,ACTIVE,2026-12-31
SHON PHARM CARE CHEMIST,PPB/S/9386,BU202606981,SOLE PROPRIETOR,2024,MKOMANI/KANU ROAD,,VALID,ACTIVE,2026-12-31
SHORELINE PHARMACY (Mombasa),PPB/S/182,BU202606717,PARTNERSHIP,2013,JOMO KENYATTA AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
SHOREWAY CHEMIST (Mombasa),PPB/S/9152,BU202604525,PARTNERSHIP,2021,VIKWATANI,Mombasa,VALID,ACTIVE,2026-12-31
SHREEJI HEALTHCARE LIMITED,PPB/S/9146,BU202600387,PRIVATE COMPANY (LIMITED),2022,KISUMU-KAKAMEGA ROAD,Kisumu,VALID,ACTIVE,2026-12-31
SHUJAA CHEMIST (Mombasa),PPB/S/714,BU202600971,SOLE PROPRIETOR,2013,SHELLY BEACH,Mombasa,VALID,ACTIVE,2026-12-31
SHUKRAN HOMA BAY PHARMACEUTICAL LIMITED (Homa Bay),PPB/S/1065,BU202602720,PRIVATE COMPANY (LIMITED),2016,HOMA BAY RONGO ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
SHUKRICARE PHARMACEUTICAL,PPB/S/9047,BU202607413,SOLE PROPRIETOR,2022,ST MARY'S  KITALE -KAPENGURIA ROAD,,VALID,ACTIVE,2026-12-31
SHYLEE PHARMACY KATHONZWENI,PPB/S/9276,BU202606481,SOLE PROPRIETOR,2024,WOTE-MAKINDU ROAD,,VALID,ACTIVE,2026-12-31
SIATA CHEMIST (Kakamega),PPB/S/1097,BU202604582,SOLE PROPRIETOR,2016,ELDORET-KITALE,Kakamega,VALID,ACTIVE,2026-12-31
SIAYA KABABA CHEMIST (Siaya),PPB/S/1125,BU202606201,PARTNERSHIP,2016,SIAYA-KISUMU ROAD,Siaya,VALID,ACTIVE,2026-12-31
SIBANGA PHARMACY (Trans Nzoia),PPB/S/829,BU202602785,SOLE PROPRIETOR,2014,KAPLAMAI RD,Trans Nzoia,VALID,ACTIVE,2026-12-31
SIBUMBA PHARMACY-BUNGOMA (Bungoma),PPB/S/1030,BU202607795,PARTNERSHIP,2015,MAIN STREET,Bungoma,VALID,ACTIVE,2026-12-31
SIDAI CHEMIST (Kajiado),PPB/S/628,BU202605446,SOLE PROPRIETOR,1914,OFF NAMANGA RD,Kajiado,VALID,ACTIVE,2026-12-31
SIDAI PHARMACY,PPB/S/9413,BU202602035,SOLE PROPRIETOR,2024,HOSPITAL ROAD,,VALID,ACTIVE,2026-12-31
SIDEHILL PHARMACY,PPB/S/8991,BU202604521,SOLE PROPRIETOR,2022,MATHARE NORTH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SIDEWAY PHARMACEUTICALS LIMITED (Kitui),PPB/S/1390,BU202606299,PRIVATE COMPANY (LIMITED),2014,MSAFIRI ROAD,Kitui,VALID,ACTIVE,2026-12-31
SIDEWAY PHARMACEUTICALS LIMITED-SPINE ROAD  (Nairobi),PPB/S/729,BU202606237,PARTNERSHIP,2013,SPINE ROAD STREET -UMOJA,Nairobi,VALID,ACTIVE,2026-12-31
SIDON CHEMIST KISII,PPB/S/9534,BU202604104,SOLE PROPRIETOR,2025,SOKO MJINGA,,VALID,ACTIVE,2026-12-31
SIERRA DISPENSING CHEMISTS LIMITED (Isiolo),PPB/S/1289,BU202601408,PRIVATE COMPANY (LIMITED),2017,ISIOLO TOWNSHIP,Isiolo,VALID,ACTIVE,2026-12-31
SIFASCRIPT HEALTHCARE LIMITED,PPB/S/9261,BU202603955,PRIVATE COMPANY (LIMITED),2022,"AMALEMBA SCHEME 3, NEXT TO GREEN MOUNT S",Kakamega,VALID,ACTIVE,2026-12-31
SIGONA END DAWA POINT CHEMIST (Kiambu),PPB/S/1284,BU202601880,SOLE PROPRIETOR,2017,RIRUTA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SIKU NJEMA CHEMIST-KAKAMEGA,PPB/S/9036,BU202606841,SOLE PROPRIETOR,2021,CANNON AWUOR,Kakamega,VALID,ACTIVE,2026-12-31
SILAMEC PHARMACY  (Kilifi),PPB/X/002,BU202604820,SOLE PROPRIETOR,2014,MARIAKANI KILIFI  ROAD,Kilifi,VALID,ACTIVE,2026-12-31
SILIBWET BETHSAIDA CHEMIST - BOMET,PPB/S/9118,BU202600649,SOLE PROPRIETOR,2022,BOMET-KAPKOROS RD,Bomet,VALID,ACTIVE,2026-12-31
SILKA HEALTH CENTER- PHARMACY,PPB/S/9221,BU202605230,SOLE PROPRIETOR,2023,KENDU BAY TO KATITO ROAD,Homa Bay,VALID,ACTIVE,2026-12-31
SILOR HEALTHCARE SERVICES,PPB/S/9201,BU202602013,SOLE PROPRIETOR,2016,MAUA - ATHIRU GAINING ROAD,Meru,VALID,ACTIVE,2026-12-31
SILVAD CALVARY HILL SPECIALIST HOSPITAL LTD (Kajiado),PPB/S/1750,BU202604678,PRIVATE COMPANY (LIMITED),2021,LAW COURT ROAD,Kajiado,VALID,ACTIVE,2026-12-31
SIMANUELS FAMILY CHEMIST (Trans Nzoia),PPB/S/1330,BU202600894,PARTNERSHIP,2018,KTL-WBY RD,Trans Nzoia,VALID,ACTIVE,2026-12-31
SIMCHEM PHARMACY  (Nyeri),PPB/S/585,BU202600704,SOLE PROPRIETOR,2013,NYERI-OTHAYA,Nyeri,VALID,ACTIVE,2026-12-31
SIMMED CHEMIST (Kiambu),PPB/S/504,BU202607653,SOLE PROPRIETOR,2010,KIGANJO RD,Kiambu,VALID,ACTIVE,2026-12-31
SIMNACHEM CHEMIST-LELKINA BLDG (Uasin Gishu),PPB/S/1133,BU202606940,SOLE PROPRIETOR,2016,ITEN ELDORET,Uasin Gishu,VALID,ACTIVE,2026-12-31
SIMOTWO PHARMACY,PPB/S/9328,BU202603135,SOLE PROPRIETOR,2024,KAPLONG KERICHO ROAD,,VALID,ACTIVE,2026-12-31
SIMPLE MEDS PHARMACY,PPB/S/9107,BU202603368,SOLE PROPRIETOR,2022,MBARIA KANIU,Nakuru,VALID,ACTIVE,2026-12-31
SIMWA CHEMIST (Vihiga),PPB/S/930,BU202601825,SOLE PROPRIETOR,2014,KAPSABET-CHAVAKALI,Vihiga,VALID,ACTIVE,2026-12-31
SINAI MT CHEMIST (Baringo),PPB/S/1461,BU202605370,SOLE PROPRIETOR,2011,KIPSARAMAN RD,Baringo,VALID,ACTIVE,2026-12-31
SINDIANA PHARMACY,PPB/S/9519,BU202603716,SOLE PROPRIETOR,2024,WEBUYE KITALE ROAD,,VALID,ACTIVE,2026-12-31
SINGANDAI PHARMACY,PPB/S/9065,BU202602744,SOLE PROPRIETOR,2022,CHWELE LWAKHAKHA ROAD,Bungoma,VALID,ACTIVE,2026-12-31
SINGAR PHAMACY (Nakuru),PPB/S/9325,BU202605260,SOLE PROPRIETOR,2024,NAIROBI  ROAD,Nakuru,VALID,ACTIVE,2026-12-31
