Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
MUTEITHANIA NURSING AND MATERNITY HOME (Nairobi),PPB/M/9270,BU202607654,PARTNERSHIP,HOSPITAL,1989,MACHARTA  ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MUTHALE MISSION HOSPITAL-MUTHALE (Kitui),PPB/M/9325,BU202605685,PRIVATE COMPANY (LIMITED),HOSPITAL,1965,KABATI-MWINGI ROAD,Kitui,VALID,ACTIVE,2026-12-31
MUTITO  CATHOLIC DISPENSARY,PPB/M/9725,BU202601563,PARTNERSHIP,HOSPITAL,2018,MUTITU NSYOMBANDU ROAD,,VALID,ACTIVE,2026-12-31
MUYESU MEDICAL CENTRE (Murang'a),PPB/M/9195,BU202604754,SOLE PROPRIETOR,HOSPITAL,2013,MANYEKI STREET,Murang'a,VALID,ACTIVE,2026-12-31
MWEA MEDICAL CENTRE LIMITED  (Kirinyaga),PPB/M/9210,BU202602242,PRIVATE COMPANY (LIMITED),HOSPITAL,1997,EMBU-MAKUTANO HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
MWEIN MEDICAL SERVICES,PPB/M/10186,BU202603415,SOLE PROPRIETOR,HOSPITAL,2022,BUSIA-MUMIAS,,VALID,ACTIVE,2026-12-31
MWINGI DOCTORS PLAZA LIMITED,PPB/M/9524,BU202606415,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,MWINGI NZELUNI ROAD,Kitui,VALID,ACTIVE,2026-12-31
MWINGI MEDICARE CENTRE - LTD,PPB/M/9726,BU202600132,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,MWINGI NZELUNI ROAD,,VALID,ACTIVE,2026-12-31
MWINGI SPECIALIST HOSPITAL (Kitui),PPB/W/7351,BU202601588,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,ALONG TSEIKURU ROAD,Kitui,VALID,ACTIVE,2026-12-31
MY CLINIC LLP (Mombasa),PPB/M/8978,BU202605119,PARTNERSHIP,HOSPITAL,2018,NYERERE AVENUE,Mombasa,VALID,ACTIVE,2026-12-31
MYRA IVF AND MEDICAL CENTER LIMITED,None,BU202600946,PRIVATE COMPANY (LIMITED),HOSPITAL,,,,VALID,ACTIVE,2026-12-31
MYRIAD HEALTH SOLUTIONS LIMITED,PPB/M/9736,BU202603109,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,BAZAAR,,VALID,ACTIVE,2026-12-31
NABSIT NURSING HOME LIMITED (Wajir),PPB/N/1182,BU202605434,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,BUNA BUTE,Wajir,VALID,ACTIVE,2026-12-31
NADIMER CARE AND MEDICS (Machakos),PPB/N/1167,BU202606416,SOLE PROPRIETOR,HOSPITAL,2021,OLD MLOLONGO MOMBASA ROAD,Machakos,VALID,ACTIVE,2026-12-31
